car,battery_capacity,profile,arrival_time_in_minutes,waiting_time_in_minutes,current_battery_level,willingness_to_pay_extra_per_kwh,willingness_to_release,target_battery_level,soc,ocv
Audi Q4 e-tron,52000,STANDARD,13682,3,12875,0.16,0.35,29192,0.24759615384615385,3.4585
Skoda Enyaq,77000,STANDARD,8586,3,11708,0.25,0.29,66033,0.15205194805194805,3.282
Audi Q4 e-tron,52000,STANDARD,39094,2,6439,0.11,0.28,51262,0.12382692307692307,3.2341
Tesla Model Y,75000,STANDARD,28292,3,18416,0.07,0.37,49300,0.24554666666666666,3.455
Audi Q4 e-tron,52000,STANDARD,38450,4,12895,0.28,0.32,42207,0.24798076923076923,3.4592
Tesla Model Y,75000,STANDARD,26885,2,7464,0.2,0.33,27600,0.09952,3.1871
Tesla Model 3,75000,STANDARD,15671,4,19496,0.16,0.26,51419,0.25994666666666666,3.4761
Skoda Enyaq,77000,STANDARD,5077,3,17429,0.11,0.27,54819,0.22635064935064936,3.4221
Tesla Model Y,75000,STANDARD,12458,1,14080,0.12,0.3,63079,0.18773333333333334,3.3514
Audi Q4 e-tron,52000,STANDARD,9407,1,19618,0.28,0.33,51644,0.37726923076923075,3.6009
Skoda Enyaq,77000,STANDARD,28118,0,11837,0.33,0.29,54374,0.15372727272727274,3.2848
Skoda Enyaq,77000,STANDARD,20891,0,13083,0.02,0.32,44272,0.1699090909090909,3.3162
Tesla Model Y,75000,STANDARD,17978,0,12494,0.18,0.23,38032,0.16658666666666666,3.3097
Audi Q4 e-tron,52000,STANDARD,42063,1,6815,0.27,0.32,31572,0.13105769230769232,3.2464
Skoda Enyaq,77000,STANDARD,10873,4,19419,0.14,0.31,36927,0.2521948051948052,3.4664
Tesla Model 3,75000,STANDARD,8517,0,12558,0.2,0.39,64295,0.16744,3.3113
Audi Q4 e-tron,52000,STANDARD,32588,3,19194,0.26,0.35,40930,0.3691153846153846,3.5891
Tesla Model 3,75000,STANDARD,28041,4,11275,0.23,0.31,56365,0.15033333333333335,3.2791
Tesla Model Y,75000,STANDARD,10817,4,14384,0.14,0.24,32377,0.19178666666666666,3.3594
Tesla Model Y,75000,STANDARD,33398,2,8079,0.15,0.2,73697,0.10772,3.2068
Tesla Model Y,75000,STANDARD,13870,3,10150,0.12,0.26,66447,0.13533333333333333,3.2536
Skoda Enyaq,77000,STANDARD,1361,0,8537,0.26,0.34,29311,0.11087012987012987,3.2121
Audi Q4 e-tron,52000,STANDARD,25659,4,18346,0.21,0.29,34579,0.3528076923076923,3.5663
Tesla Model Y,75000,STANDARD,42933,2,14090,0.25,0.24,69515,0.18786666666666665,3.3516
Skoda Enyaq,77000,STANDARD,8403,4,14990,0.27,0.34,53625,0.19467532467532467,3.365
Tesla Model Y,75000,STANDARD,19121,0,12617,0.08,0.39,43739,0.16822666666666666,3.3129
Audi Q4 e-tron,52000,STANDARD,2256,3,6607,0.22,0.21,26515,0.12705769230769232,3.2396
Tesla Model Y,75000,STANDARD,18476,0,11466,0.2,0.4,72421,0.15288,3.2834
Skoda Enyaq,77000,STANDARD,38195,2,6398,0.13,0.31,70042,0.08309090909090909,3.1444
Tesla Model Y,75000,STANDARD,17434,2,12519,0.28,0.22,38819,0.16692,3.3103
Tesla Model Y,75000,STANDARD,9352,4,11041,0.32,0.33,49805,0.14721333333333333,3.2738
Tesla Model Y,75000,STANDARD,35843,1,9975,0.26,0.25,28473,0.133,3.2497
Skoda Enyaq,77000,STANDARD,19897,0,18830,0.07,0.24,55255,0.24454545454545454,3.4533
Audi Q4 e-tron,52000,STANDARD,10010,2,17390,0.08,0.36,40174,0.33442307692307693,3.5489
Tesla Model Y,75000,STANDARD,25573,0,15662,0.0,0.3,35955,0.20882666666666666,3.392
Audi Q4 e-tron,52000,STANDARD,29829,4,9845,0.03,0.32,36608,0.1893269230769231,3.3545
Tesla Model Y,75000,STANDARD,5128,3,19438,0.23,0.23,64614,0.2591733333333333,3.4754
Volvo EX30,51000,STANDARD,29456,0,12297,0.24,0.27,31011,0.24111764705882352,3.4474
Tesla Model Y,75000,STANDARD,3764,4,5316,0.18,0.39,29183,0.07088,3.1126
Tesla Model Y,75000,STANDARD,28071,4,18733,0.01,0.3,54318,0.24977333333333335,3.4622
Tesla Model Y,75000,STANDARD,754,1,12306,0.22,0.33,29792,0.16408,3.3047
Skoda Enyaq,77000,STANDARD,30370,1,13596,0.21,0.22,65235,0.17657142857142857,3.3294
Volvo EX30,51000,STANDARD,9235,1,10878,0.01,0.38,39254,0.21329411764705883,3.3997
Audi Q4 e-tron,52000,STANDARD,16357,3,12158,0.02,0.22,36844,0.2338076923076923,3.4349
Tesla Model Y,75000,STANDARD,26507,2,9725,0.17,0.35,72429,0.12966666666666668,3.244
Audi Q4 e-tron,52000,STANDARD,15491,1,14871,0.22,0.29,39013,0.2859807692307692,3.5022
Tesla Model 3,75000,STANDARD,41162,1,17044,0.1,0.38,69210,0.22725333333333333,3.4236
Audi Q4 e-tron,52000,STANDARD,26226,0,17342,0.09,0.38,34959,0.3335,3.5481
Skoda Enyaq,77000,STANDARD,32877,2,15673,0.32,0.3,72313,0.20354545454545456,3.3825
Tesla Model Y,75000,STANDARD,19783,1,15324,0.06,0.23,53990,0.20432,3.3841
Tesla Model Y,75000,STANDARD,28012,2,11014,0.14,0.38,73031,0.14685333333333334,3.2732
Volvo EX30,51000,STANDARD,12505,0,19641,0.03,0.23,43716,0.3851176470588235,3.6123
Skoda Enyaq,77000,STANDARD,27866,4,19506,0.22,0.23,69448,0.25332467532467534,3.4683
Tesla Model Y,75000,STANDARD,38828,0,13966,0.06,0.36,47667,0.18621333333333334,3.3484
Volvo EX30,51000,STANDARD,6487,3,10494,0.1,0.28,48336,0.20576470588235293,3.3868
Audi Q4 e-tron,52000,STANDARD,16775,0,11402,0.21,0.35,36798,0.21926923076923077,3.4099
Tesla Model 3,75000,STANDARD,5019,1,19588,0.14,0.22,62972,0.2611733333333333,3.4774
Tesla Model 3,75000,STANDARD,10872,0,12951,0.06,0.35,47641,0.17268,3.3217
Tesla Model Y,75000,STANDARD,16362,3,13037,0.02,0.37,47213,0.17382666666666666,3.3239
Volvo EX30,51000,STANDARD,16987,2,9048,0.07,0.23,24308,0.17741176470588235,3.331
Tesla Model Y,75000,STANDARD,17575,2,14674,0.27,0.2,40010,0.19565333333333335,3.367
Tesla Model Y,75000,STANDARD,25275,2,5701,0.0,0.26,50688,0.07601333333333334,3.126
Tesla Model 3,75000,STANDARD,9473,1,15289,0.2,0.21,58138,0.20385333333333333,3.3831
Tesla Model Y,75000,STANDARD,4322,0,17519,0.06,0.31,74683,0.23358666666666666,3.4345
Tesla Model Y,75000,STANDARD,16260,2,17292,0.11,0.24,41719,0.23056,3.4293
Tesla Model Y,75000,STANDARD,17896,1,9361,0.07,0.39,24670,0.12481333333333333,3.2358
Tesla Model Y,75000,STANDARD,20035,2,7698,0.14,0.24,44620,0.10264,3.1952
Tesla Model 3,75000,STANDARD,10514,4,18448,0.3,0.25,69457,0.24597333333333332,3.4557
Tesla Model Y,75000,STANDARD,12871,2,9193,0.25,0.33,33695,0.12257333333333334,3.232
Tesla Model 3,75000,STANDARD,39880,1,11125,0.16,0.36,46563,0.14833333333333334,3.2757
Tesla Model Y,75000,STANDARD,27654,0,8728,0.17,0.32,47221,0.11637333333333333,3.2215
Tesla Model Y,75000,STANDARD,9716,4,7048,0.19,0.37,59921,0.09397333333333334,3.1727
Tesla Model Y,75000,STANDARD,41652,1,7516,0.34,0.3,73899,0.10021333333333333,3.1889
Volvo EX30,51000,STANDARD,24258,2,13304,0.13,0.34,34879,0.2608627450980392,3.4771
Skoda Enyaq,77000,STANDARD,8292,0,5809,0.11,0.25,37949,0.07544155844155845,3.1245
Skoda Enyaq,77000,STANDARD,23975,1,7678,0.1,0.34,29111,0.09971428571428571,3.1876
Skoda Enyaq,77000,STANDARD,36189,2,11328,0.1,0.28,48354,0.14711688311688312,3.2736
Tesla Model Y,75000,STANDARD,37053,1,18731,0.26,0.38,50052,0.24974666666666667,3.4622
Audi Q4 e-tron,52000,STANDARD,5042,2,13737,0.26,0.24,42895,0.2641730769230769,3.4804
Skoda Enyaq,77000,STANDARD,41207,2,15946,0.2,0.26,60676,0.2070909090909091,3.3891
Tesla Model 3,75000,STANDARD,9313,3,14982,0.15,0.21,69919,0.19976,3.3751
Tesla Model Y,75000,STANDARD,25861,2,12517,0.2,0.34,71782,0.16689333333333334,3.3103
Tesla Model Y,75000,STANDARD,9165,4,12642,0.35,0.38,68732,0.16856,3.3136
Tesla Model Y,75000,STANDARD,5669,0,12843,0.21,0.32,58205,0.17124,3.3188
Tesla Model 3,75000,STANDARD,15915,2,9628,0.32,0.27,40746,0.12837333333333334,3.2418
Audi Q4 e-tron,52000,STANDARD,16807,4,11283,0.32,0.33,39330,0.21698076923076923,3.406
Tesla Model 3,75000,STANDARD,5315,3,16184,0.34,0.38,46959,0.21578666666666665,3.404
Tesla Model Y,75000,STANDARD,5142,4,13080,0.14,0.24,28832,0.1744,3.3251
Tesla Model Y,75000,STANDARD,10868,0,15802,0.1,0.23,48895,0.21069333333333334,3.3952
Audi Q4 e-tron,52000,STANDARD,33777,4,9733,0.08,0.23,40234,0.18717307692307691,3.3503
Tesla Model 3,75000,STANDARD,6589,2,11399,0.32,0.3,29678,0.15198666666666666,3.2819
Tesla Model 3,75000,STANDARD,41541,4,5381,0.24,0.39,66765,0.07174666666666667,3.1149
Audi Q4 e-tron,52000,STANDARD,3386,4,9019,0.04,0.22,47789,0.1734423076923077,3.3232
Skoda Enyaq,77000,STANDARD,10178,4,14896,0.31,0.36,63134,0.19345454545454546,3.3626
Audi Q4 e-tron,52000,STANDARD,13583,3,11718,0.18,0.34,31366,0.22534615384615383,3.4204
Skoda Enyaq,77000,STANDARD,36910,4,19874,0.29,0.38,75755,0.2581038961038961,3.4743
Tesla Model 3,75000,STANDARD,42331,1,19991,0.04,0.34,60511,0.26654666666666665,3.4827
Tesla Model Y,75000,STANDARD,2119,3,16925,0.07,0.37,63865,0.22566666666666665,3.4209
Audi Q4 e-tron,52000,STANDARD,28031,0,6298,0.32,0.34,28913,0.12111538461538461,3.2295
Tesla Model Y,75000,STANDARD,34066,4,15733,0.19,0.24,53235,0.20977333333333334,3.3937
Volvo EX30,51000,STANDARD,18413,0,14194,0.26,0.28,47588,0.27831372549019606,3.4945
Volvo EX30,51000,STANDARD,12613,2,11156,0.09,0.34,47285,0.21874509803921569,3.409
Skoda Enyaq,77000,STANDARD,40246,4,19634,0.01,0.39,50778,0.254987012987013,3.4712
Audi Q4 e-tron,52000,STANDARD,18476,1,6147,0.07,0.26,41559,0.11821153846153847,3.2246
Audi Q4 e-tron,52000,STANDARD,38437,4,11896,0.17,0.22,37248,0.22876923076923078,3.4262
Skoda Enyaq,77000,STANDARD,10962,1,12695,0.01,0.21,33371,0.16487012987012986,3.3063
Audi Q4 e-tron,52000,STANDARD,19834,4,19349,0.03,0.28,48121,0.37209615384615385,3.5934
Skoda Enyaq,77000,STANDARD,35601,4,5157,0.28,0.38,70260,0.06697402597402598,3.1025
Volvo EX30,51000,STANDARD,23564,4,15152,0.26,0.23,50603,0.2970980392156863,3.5133
Audi Q4 e-tron,52000,STANDARD,38298,2,7367,0.24,0.24,32274,0.14167307692307693,3.2644
Tesla Model Y,75000,STANDARD,18279,4,13492,0.05,0.24,31912,0.17989333333333332,3.3359
Tesla Model Y,75000,STANDARD,25197,3,17602,0.11,0.25,49338,0.23469333333333334,3.4364
Audi Q4 e-tron,52000,STANDARD,2472,4,12710,0.0,0.25,48658,0.2444230769230769,3.4531
Volvo EX30,51000,STANDARD,35091,2,16197,0.06,0.37,40584,0.31758823529411767,3.5331
Audi Q4 e-tron,52000,STANDARD,12342,1,9361,0.19,0.22,48663,0.18001923076923076,3.3362
Skoda Enyaq,77000,STANDARD,37122,0,10333,0.22,0.2,60027,0.1341948051948052,3.2517
Tesla Model Y,75000,STANDARD,18040,2,8063,0.05,0.25,72431,0.10750666666666667,3.2064
Tesla Model Y,75000,STANDARD,7599,1,14731,0.27,0.26,35735,0.19641333333333333,3.3685
Volvo EX30,51000,STANDARD,27273,2,10566,0.26,0.27,30568,0.2071764705882353,3.3892
Tesla Model 3,75000,STANDARD,10250,0,5951,0.07,0.37,22455,0.07934666666666666,3.1346
Tesla Model Y,75000,STANDARD,3608,0,13344,0.19,0.21,41067,0.17792,3.332
Tesla Model 3,75000,STANDARD,998,0,16491,0.02,0.21,72331,0.21988,3.411
Skoda Enyaq,77000,STANDARD,22496,1,16726,0.3,0.4,38407,0.21722077922077923,3.4064
Tesla Model Y,75000,STANDARD,40157,2,12657,0.17,0.22,41772,0.16876,3.3139
Tesla Model Y,75000,STANDARD,15218,3,11283,0.31,0.21,46382,0.15044,3.2792
Audi Q4 e-tron,52000,STANDARD,31348,2,14868,0.33,0.28,42436,0.28592307692307695,3.5021
Tesla Model Y,75000,STANDARD,23453,0,7970,0.22,0.3,64040,0.10626666666666666,3.2043
Tesla Model Y,75000,STANDARD,42366,0,17652,0.13,0.28,43883,0.23536,3.4375
Audi Q4 e-tron,52000,STANDARD,13748,1,10863,0.07,0.28,38416,0.20890384615384616,3.3922
Audi Q4 e-tron,52000,STANDARD,13794,3,11595,0.29,0.24,28281,0.22298076923076923,3.4163
Audi Q4 e-tron,52000,STANDARD,39852,3,17578,0.03,0.34,42060,0.33803846153846157,3.5524
Tesla Model Y,75000,STANDARD,26516,0,15996,0.21,0.32,50003,0.21328,3.3997
Volvo EX30,51000,STANDARD,1461,4,5065,0.34,0.21,35452,0.09931372549019608,3.1866
Volvo EX30,51000,STANDARD,21350,0,15907,0.04,0.2,49423,0.3119019607843137,3.5277
Tesla Model Y,75000,STANDARD,9992,0,7405,0.33,0.36,38690,0.09873333333333334,3.1851
Tesla Model Y,75000,STANDARD,5028,3,10163,0.0,0.39,67599,0.13550666666666666,3.2539
Tesla Model Y,75000,STANDARD,4689,2,8677,0.12,0.24,73824,0.11569333333333333,3.2203
Skoda Enyaq,77000,STANDARD,27692,0,10704,0.31,0.29,33321,0.139012987012987,3.2599
Skoda Enyaq,77000,STANDARD,8189,0,10592,0.28,0.34,35277,0.13755844155844155,3.2574
Skoda Enyaq,77000,STANDARD,30893,2,15443,0.02,0.29,67030,0.20055844155844155,3.3767
Volvo EX30,51000,STANDARD,2365,1,9910,0.2,0.35,28300,0.19431372549019607,3.3643
Tesla Model Y,75000,STANDARD,19095,4,8038,0.33,0.26,32667,0.10717333333333333,3.2059
Tesla Model 3,75000,STANDARD,22373,4,7953,0.04,0.21,59107,0.10604,3.2039
Volvo EX30,51000,STANDARD,23986,0,19488,0.34,0.36,46471,0.3821176470588235,3.6079
Skoda Enyaq,77000,STANDARD,9449,2,6429,0.06,0.26,43534,0.0834935064935065,3.1454
Tesla Model 3,75000,STANDARD,33878,4,12043,0.15,0.31,63274,0.16057333333333335,3.2978
Tesla Model 3,75000,STANDARD,41940,3,14206,0.18,0.4,51716,0.18941333333333332,3.3547
Audi Q4 e-tron,52000,STANDARD,14148,4,12163,0.33,0.22,34338,0.23390384615384616,3.435
Tesla Model Y,75000,STANDARD,10977,3,18070,0.27,0.34,58424,0.24093333333333333,3.4471
Tesla Model Y,75000,STANDARD,3441,1,19869,0.27,0.31,60897,0.26492,3.4811
Tesla Model Y,75000,STANDARD,21590,3,5199,0.14,0.21,62879,0.06932,3.1086
Tesla Model 3,75000,STANDARD,21579,3,14903,0.32,0.22,46908,0.19870666666666667,3.373
Tesla Model Y,75000,STANDARD,5507,1,9331,0.22,0.39,59798,0.12441333333333333,3.2351
Volvo EX30,51000,STANDARD,19210,1,12488,0.34,0.35,40505,0.2448627450980392,3.4538
Tesla Model Y,75000,STANDARD,29764,0,10016,0.01,0.24,59212,0.13354666666666667,3.2506
Skoda Enyaq,77000,STANDARD,30841,3,6392,0.08,0.31,46588,0.08301298701298701,3.1442
Tesla Model Y,75000,STANDARD,33782,1,6904,0.12,0.29,52031,0.09205333333333333,3.1677
Volvo EX30,51000,STANDARD,3671,0,12854,0.1,0.29,36379,0.2520392156862745,3.4661
Volvo EX30,51000,STANDARD,2174,3,14668,0.13,0.34,42252,0.2876078431372549,3.5038
Volvo EX30,51000,STANDARD,15977,1,11533,0.04,0.25,38049,0.2261372549019608,3.4217
Tesla Model Y,75000,STANDARD,6647,2,19433,0.32,0.32,50988,0.25910666666666665,3.4753
Volvo EX30,51000,STANDARD,24586,1,19195,0.03,0.33,37848,0.3763725490196078,3.5996
Tesla Model Y,75000,STANDARD,40776,1,12570,0.14,0.26,74815,0.1676,3.3117
Volvo EX30,51000,STANDARD,33546,3,16700,0.3,0.31,36541,0.32745098039215687,3.5424
Tesla Model Y,75000,STANDARD,2870,4,13145,0.09,0.24,63777,0.17526666666666665,3.3268
Tesla Model Y,75000,STANDARD,1735,0,15376,0.32,0.3,62215,0.20501333333333333,3.3854
Audi Q4 e-tron,52000,STANDARD,10426,4,10054,0.15,0.3,27644,0.19334615384615383,3.3624
Skoda Enyaq,77000,STANDARD,22907,3,11907,0.24,0.38,60378,0.15463636363636363,3.2864
Volvo EX30,51000,STANDARD,15112,3,8848,0.03,0.22,23949,0.17349019607843139,3.3233
Tesla Model 3,75000,STANDARD,3730,4,5657,0.21,0.32,67738,0.07542666666666667,3.1244
Audi Q4 e-tron,52000,STANDARD,10846,1,5763,0.28,0.34,39229,0.11082692307692307,3.2121
Audi Q4 e-tron,52000,STANDARD,29583,2,16476,0.27,0.32,43852,0.31684615384615383,3.5324
Tesla Model 3,75000,STANDARD,25502,2,15056,0.33,0.33,72223,0.20074666666666666,3.377
Tesla Model Y,75000,STANDARD,19212,3,15132,0.22,0.21,48121,0.20176,3.379
Skoda Enyaq,77000,STANDARD,2235,1,12459,0.32,0.25,48918,0.1618051948051948,3.3002
Skoda Enyaq,77000,STANDARD,24644,1,8687,0.1,0.28,36788,0.11281818181818182,3.2154
Tesla Model Y,75000,STANDARD,33054,3,5873,0.11,0.38,70382,0.07830666666666666,3.1319
Audi Q4 e-tron,52000,STANDARD,38504,0,12236,0.33,0.29,35504,0.2353076923076923,3.4374
Tesla Model Y,75000,STANDARD,33729,4,16933,0.14,0.26,49127,0.22577333333333333,3.4211
Tesla Model 3,75000,STANDARD,6213,2,8839,0.2,0.22,42731,0.11785333333333334,3.224
Audi Q4 e-tron,52000,STANDARD,21504,3,7320,0.2,0.38,36752,0.14076923076923076,3.2628
Tesla Model Y,75000,STANDARD,40049,2,18278,0.22,0.23,57728,0.24370666666666665,3.4518
Volvo EX30,51000,STANDARD,8244,2,19049,0.14,0.33,49547,0.37350980392156863,3.5955
Volvo EX30,51000,STANDARD,19015,2,16732,0.19,0.29,34952,0.328078431372549,3.543
Tesla Model Y,75000,STANDARD,37122,4,11874,0.05,0.32,54518,0.15832,3.2934
Audi Q4 e-tron,52000,STANDARD,32870,1,9509,0.23,0.33,49866,0.18286538461538462,3.3418
Volvo EX30,51000,STANDARD,30553,2,13532,0.26,0.34,47196,0.2653333333333333,3.4815
Tesla Model Y,75000,STANDARD,27178,1,17086,0.24,0.23,56927,0.22781333333333334,3.4246
Volvo EX30,51000,STANDARD,30670,3,8031,0.03,0.31,23836,0.1574705882352941,3.2917
Tesla Model Y,75000,STANDARD,22590,3,14729,0.1,0.25,41297,0.19638666666666665,3.3684
Volvo EX30,51000,STANDARD,13726,1,5088,0.04,0.36,32969,0.09976470588235294,3.1877
Tesla Model Y,75000,STANDARD,10819,3,5972,0.19,0.3,29102,0.07962666666666667,3.1354
Tesla Model Y,75000,STANDARD,16150,1,16516,0.22,0.28,62317,0.22021333333333334,3.4116
Audi Q4 e-tron,52000,STANDARD,42918,0,17838,0.15,0.4,33504,0.3430384615384615,3.5571
Tesla Model 3,75000,STANDARD,37866,3,13585,0.3,0.22,45974,0.18113333333333334,3.3383
Volvo EX30,51000,STANDARD,42325,3,16365,0.07,0.25,41692,0.32088235294117645,3.5362
Tesla Model 3,75000,STANDARD,32406,0,13421,0.13,0.34,67486,0.17894666666666667,3.334
Tesla Model Y,75000,STANDARD,15246,1,8514,0.3,0.29,56630,0.11352,3.2166
Tesla Model Y,75000,STANDARD,34089,2,7718,0.26,0.36,31883,0.10290666666666666,3.1959
Tesla Model Y,75000,STANDARD,32290,2,18472,0.33,0.36,39806,0.24629333333333334,3.4563
Tesla Model 3,75000,STANDARD,42478,0,8563,0.33,0.32,59543,0.11417333333333334,3.2177
Tesla Model Y,75000,STANDARD,32735,4,19296,0.12,0.26,50801,0.25728,3.4735
Tesla Model 3,75000,STANDARD,9959,3,5827,0.18,0.36,63079,0.07769333333333334,3.1303
Tesla Model Y,75000,STANDARD,14027,0,6789,0.3,0.36,38692,0.09052,3.1637
Tesla Model 3,75000,STANDARD,39280,3,5461,0.34,0.3,52144,0.07281333333333333,3.1176
Tesla Model 3,75000,STANDARD,5160,0,16967,0.03,0.29,32138,0.22622666666666666,3.4219
Audi Q4 e-tron,52000,STANDARD,38075,4,19798,0.04,0.25,36114,0.3807307692307692,3.6059
Tesla Model Y,75000,STANDARD,30834,2,9508,0.15,0.22,33713,0.12677333333333332,3.2391
Volvo EX30,51000,STANDARD,9522,2,11172,0.13,0.4,40703,0.21905882352941178,3.4096
Tesla Model 3,75000,STANDARD,1418,3,8442,0.14,0.37,28532,0.11256,3.215
Tesla Model Y,75000,STANDARD,20764,4,16713,0.1,0.2,67728,0.22284,3.4161
Audi Q4 e-tron,52000,STANDARD,19932,4,7204,0.1,0.31,37658,0.13853846153846153,3.2591
Tesla Model Y,75000,STANDARD,19959,0,13751,0.15,0.23,73981,0.18334666666666666,3.3427
Skoda Enyaq,77000,STANDARD,41831,1,10073,0.23,0.38,27233,0.1308181818181818,3.246
Tesla Model 3,75000,STANDARD,8627,4,15336,0.12,0.27,48196,0.20448,3.3844
Audi Q4 e-tron,52000,STANDARD,6962,1,17885,0.31,0.23,40012,0.3439423076923077,3.5579
Tesla Model Y,75000,STANDARD,1500,2,12490,0.21,0.36,47721,0.16653333333333334,3.3096
Tesla Model Y,75000,STANDARD,41289,0,11103,0.28,0.38,50277,0.14804,3.2752
Tesla Model Y,75000,STANDARD,5780,1,13883,0.31,0.38,37292,0.18510666666666667,3.3462
Audi Q4 e-tron,52000,STANDARD,10641,1,17145,0.27,0.22,36452,0.32971153846153844,3.5445
Volvo EX30,51000,STANDARD,41747,4,18798,0.04,0.37,45276,0.36858823529411766,3.5884
Tesla Model Y,75000,STANDARD,5589,3,15911,0.34,0.23,37872,0.21214666666666668,3.3977
Tesla Model Y,75000,STANDARD,8948,4,10845,0.12,0.21,33016,0.1446,3.2693
Tesla Model Y,75000,STANDARD,5471,1,17386,0.05,0.25,64444,0.23181333333333334,3.4315
Audi Q4 e-tron,52000,STANDARD,15983,0,17662,0.2,0.4,38222,0.33965384615384614,3.5539
Tesla Model Y,75000,STANDARD,6192,0,14644,0.11,0.22,38577,0.19525333333333333,3.3662
Skoda Enyaq,77000,STANDARD,42997,4,18480,0.12,0.36,56930,0.24,3.4455
Tesla Model Y,75000,STANDARD,23319,4,6933,0.09,0.23,59152,0.09244,3.1687
Audi Q4 e-tron,52000,STANDARD,41486,1,8817,0.26,0.22,42719,0.1695576923076923,3.3155
Tesla Model Y,75000,STANDARD,8386,1,13474,0.02,0.23,28477,0.17965333333333333,3.3354
Volvo EX30,51000,STANDARD,13445,1,14257,0.27,0.26,40139,0.2795490196078431,3.4957
Skoda Enyaq,77000,STANDARD,9067,1,15034,0.3,0.23,34286,0.19524675324675325,3.3662
Volvo EX30,51000,STANDARD,43151,1,8741,0.18,0.35,42891,0.1713921568627451,3.3191
Tesla Model Y,75000,STANDARD,13650,1,10689,0.07,0.31,70060,0.14252,3.2658
Tesla Model Y,75000,STANDARD,18825,3,10801,0.09,0.34,70980,0.14401333333333333,3.2683
Skoda Enyaq,77000,STANDARD,10899,0,12740,0.04,0.31,32970,0.16545454545454547,3.3074
Tesla Model 3,75000,STANDARD,42742,2,8310,0.02,0.27,46783,0.1108,3.212
Skoda Enyaq,77000,STANDARD,22562,1,19360,0.09,0.35,66374,0.25142857142857145,3.4651
Skoda Enyaq,77000,STANDARD,3811,0,17128,0.21,0.4,75791,0.22244155844155844,3.4154
Tesla Model Y,75000,STANDARD,25766,2,15713,0.25,0.21,64421,0.20950666666666667,3.3932
Tesla Model Y,75000,STANDARD,25232,4,13094,0.28,0.37,45529,0.17458666666666667,3.3254
Tesla Model Y,75000,STANDARD,41024,4,18231,0.09,0.29,63821,0.24308,3.4508
Skoda Enyaq,77000,STANDARD,2307,0,14319,0.34,0.22,55434,0.18596103896103897,3.3479
Tesla Model Y,75000,STANDARD,33266,1,18820,0.1,0.39,54753,0.25093333333333334,3.4642
Audi Q4 e-tron,52000,STANDARD,35738,4,9231,0.25,0.39,36992,0.17751923076923076,3.3312
Skoda Enyaq,77000,STANDARD,4467,1,6251,0.14,0.24,50377,0.08118181818181819,3.1394
Tesla Model Y,75000,STANDARD,31103,2,16540,0.11,0.32,36651,0.22053333333333333,3.4121
Tesla Model Y,75000,STANDARD,14079,2,15240,0.14,0.37,37714,0.2032,3.3819
Tesla Model Y,75000,STANDARD,31438,2,17706,0.22,0.29,74645,0.23608,3.4388
Tesla Model Y,75000,STANDARD,2248,0,9311,0.14,0.32,71790,0.12414666666666667,3.2346
Tesla Model 3,75000,STANDARD,28699,0,12910,0.31,0.39,57985,0.17213333333333333,3.3206
Tesla Model Y,75000,STANDARD,32389,4,19093,0.18,0.35,35101,0.2545733333333333,3.4705
Tesla Model Y,75000,STANDARD,28486,1,9794,0.31,0.31,32441,0.13058666666666666,3.2456
Tesla Model Y,75000,STANDARD,8427,1,12292,0.16,0.38,36559,0.16389333333333334,3.3044
Tesla Model Y,75000,STANDARD,16672,2,12654,0.09,0.25,69792,0.16872,3.3139
Audi Q4 e-tron,52000,STANDARD,15065,4,18334,0.06,0.35,44947,0.35257692307692307,3.5661
Tesla Model 3,75000,STANDARD,31415,2,9749,0.1,0.35,54294,0.12998666666666667,3.2446
Volvo EX30,51000,STANDARD,35552,4,8619,0.17,0.24,28709,0.169,3.3144
Tesla Model Y,75000,STANDARD,3077,1,9183,0.17,0.24,33782,0.12244,3.2318
Skoda Enyaq,77000,STANDARD,21075,3,8286,0.14,0.35,35658,0.10761038961038961,3.2066
Tesla Model Y,75000,STANDARD,4055,4,13806,0.33,0.28,37145,0.18408,3.3442
Audi Q4 e-tron,52000,STANDARD,39741,4,15232,0.2,0.37,51396,0.2929230769230769,3.5091
Tesla Model Y,75000,STANDARD,20749,3,9729,0.2,0.3,25953,0.12972,3.2441
Skoda Enyaq,77000,STANDARD,6366,4,19100,0.27,0.21,63949,0.24805194805194805,3.4593
Skoda Enyaq,77000,STANDARD,14024,4,6611,0.25,0.37,60965,0.08585714285714285,3.1516
Volvo EX30,51000,STANDARD,25870,4,5518,0.05,0.38,21529,0.10819607843137255,3.2076
Volvo EX30,51000,STANDARD,12466,0,8676,0.24,0.36,34999,0.17011764705882354,3.3166
Skoda Enyaq,77000,STANDARD,28854,4,7198,0.04,0.22,49367,0.09348051948051948,3.1714
Audi Q4 e-tron,52000,STANDARD,10854,2,5122,0.1,0.31,20344,0.0985,3.1845
Skoda Enyaq,77000,STANDARD,9563,3,15169,0.0,0.23,46506,0.197,3.3696
Skoda Enyaq,77000,STANDARD,19134,1,16558,0.14,0.32,61247,0.21503896103896103,3.4027
Tesla Model Y,75000,STANDARD,30784,0,7988,0.09,0.39,60408,0.10650666666666667,3.2047
Skoda Enyaq,77000,STANDARD,11759,1,10977,0.29,0.23,31914,0.14255844155844155,3.2659
Tesla Model Y,75000,STANDARD,24811,0,7042,0.14,0.3,59640,0.09389333333333333,3.1725
